	sender	me
490	meta tis ellados eimai free	alla nai rwta ton
495	ok ara nwritera ti wra mporeis ? se kamia wra ?	meta to farmakeio ti tha kaneis exeis douleies
500	ok tote tha se parw molis gyrisw apo farmakeio	afougrasou to graphite oso pas sto farmakeio einai to pio wraio xrwma
502	the video chat ended . the video chat ended . elea exoume nea 	eida ligo sto tech exei kapoia
508	ti tha pei to play ?	h kaluterh lush
519	exei dyo kameres omws e oxi treis	nai dn flexareis toso
522	egw thelw tis treis k as einai pio asxhmo 	einai koinwniko status oi treis
525	trww traxana alla tha exw treis kameres	ahahhaha
527	wraia ara ti paizei apo to plaisio mono to graphite ? a eipame oti ap to plaisio h timh einai n s pw mhpws to plaisio exei to pro auto dn exei megalh diafora ap to e 	to pro ap to pro ?
533	nai	mia genia kalytero epexergasth
535	ti na to kanw egw	alla sta xronia tha fanei h diafora
537	malista kala	na xereis apo pisw fainetai pio einai pro kai pio pro
539	ap to plaisio poso to pairnw to pro 	 
541	me thhkh h xwris 	me thhkh
543	wraia poso exei to pro ap to plaisio 	 me timo
550	aaa koita tempting k to pro esy tha pairneis to xerw	skepsou oti se mhnes tha einai xronwm kinhto
554	swsto ok tote pame gia to pro to xei se xryso 	oxi
561	k katopin paraggelias poses meres pairnei 	kai to graphite
564	na kanoume mia erwthsh 	aurio einai argia 
566	dn nomizw	tha parw na rwthsw an dn einai
568	alliws n s pw dn exei apple store h ellada mporei na mporeis k kei na baleis afm	dn exei oxi
573	k auto axiopisto	to exei
575	poso 	idia timh
577	teleia	alla dn blepw pouthena to arthro 
579	gia to fpa tous alhtes	mporeis na pareis me timologio
584	a katalaba dn einai oti to plhrwneis k st epistrefoun meta loipon na tsekaroume aurio auth thn epilogh 	nai
587	an einai prwta erwthsh se plaisio meta se public an dn ginetai gia to xryso s kanena ap ta dyo tha skeftw enallaktikh isws to silver an empisteuesai k to plaisio pio poly	nai tha parw aurio thl na rwthsw
594	wraia k milame aurio na prothermanw thn karta mou 	kai ama einai etsi kalo tha htan na paraggeilw aurio
598	oook	lernaia ydra einai h karta sou
602	 nai k pane ston antwnh aderfoulh peftw gia ypno douleuw aurio prepei na bgalw to merokamato	merodouli aurio
609	kalhnyxta k ta leme aurio ! ! mersi mpokou gia th bohtheia	 meres to ligotero mou eipan
614	apapapaa katastrof pffff ti na kamw sto pamplik eipes dn xeroume an ginetai auto me to e 	dn to vriskw pouthena
622	ok miso ton pairnw thl alliws tha parw to silber k se poses meres erxontai ap to plaisio 	e ergasimes max
627	christina called you . christina called you .	christina missed your call .
630	christina called you .	you called christina .
632	christina called you . o xantes leei to gkri ara gia na lene k oi dyo antwnhdes to gkri mallon tha to skeftw an den esteiles hdh mnm ston toph pes k gia to gkri	you called christina .
638	christina called you . e steile ston toph mnm ma tou peis ok mhn paei kanas allos pliz pliz ti ginetai 	you called christina .
644	christina called you .	logw timologiou
649	ante na doume ok	megeiaaa
653	wowww einai diko mou ? eyxaristw gia to dwro aderfoulh ! ! den htan anagkh p oxi mhn t anoigeis tha t anoiksoume mazi	edwse k fortisth
660	aaaaaa e ti na ton kanoume o authentikos poso exei 	 
664	tous poulouse ?	dn rwthsa
666	tou diname e k mas edine authentic den peirazeiii tha poulisoume ayton pou mas edwse ela na s pw vlepw oti ta akoustika eixan mesa ena kalwdio tha to xreiastw na to paro mazi mou ? gia ta airpods ennow	tha sou dwsw to diko mou
677	ok tha eisai ekei mexri thn kyriakh e ?	nai
684	kale den tha einai akrivo ?	gia ftynw to lew
688	kai ?	kai dn htan kai kalo
690	aha	dn htan fullscreen
693	den petaw apo megalo aerodromio ayth einai h vlakeia	e ama einai mikro duskola nai
695	https www .youtube .com watch ?v ra laa nobu aytos edw exw thn entypwsh oti proteine ena kalo tzamaki alla tha prepei na to paraggeiloume	edw dyskola dn prolabaineis
700	k thiki tha xreiastw mallon h mama to thelei to iphone mou telika ? giati exw ena fortisth pou einai o riginal k enan allo pou to kalwdio einai apo tigger gia na kserw poion na parw	fere ton kalo kai tha to dei
707	you missed a call from christina . prosgeiwnomai . wra ellados to eisithrio mou se periptwsh elegxou	wraia tha ksekinhsw kata tis 
711	oook landed landed	o toso nwris
716	oh la laaah you missed a call from christina .	christina missed your call .
719	antwnh esy exeis to pro posa gb ?	to sketo
723	aaa ok christina called you . ela akous exei to kainourio xryso kleisto me zelatina mporei na mou to ferei kai t afhnei sta ti na kanw 	nai
733	christina called you . christina called you . you missed a call from christina . you missed a call from christina .	you called christina .
738	you missed a call from christina . se eida ok parkare k perimene miso giati dn exoun parei deigma akoma	ok
748	ela antonio tha kateveis telika ?	nai
752	les mporeis na me pareis h oxi ? k meta exei k apagoreysi kykloforias ara para prepei n fevgoume apo kentro alla gia na min kanonizw tzampa pes mou ti thes	nai mporw
758	the video chat ended . ela syndethhke meta apo kana eikosalepto den xerw ti eftaige antwnh h mama koimatai 	elaa
765	ook ela antwnh sou bala sthn peiraiws to epomeno sabbato tha sou balw ta ypoloipa ok thenks	euxaristwww
773	elaa eisai xypnios 	ela pes
776	christina called you . christina called you .	xristina
781	elaaa eimai bolta sth nikaiaaa na se parw pio meta 	nai opote thes
785	h mama koimatai 	oxi
787	the video chat ended .	na se parw 
789	gies christina called you .	exei eisithrio gia napolh eurw
795	aaaa auto kaname persy	axizei 
797	of kors	christina missed your call .
802	the video chat ended .	you called christina .
807	christina called you . christina called you .	you called christina .
813	mmmm den me xetrelainei mhpws na dokimaseis kana lacoste ?	poly megalistika dn einai 
817	tote pes th mama na sou parei ralph lauren ap to atika 	ahahha
819	ap to aoutlet lathos	paw na ta dw
821	ntaxei den einai kako to armani alla dn einai liga	 eixe
823	xm zhta ap th mama na sto kanei dwro gia ta genethlia oxi ok dn einai kako an den exeis mauro mporeis na to pareis egw tha dokimaza k ena lacoste	dn exw mauro
831	tote ok	alla tha eimai san kathhghths apo sxoleio
833	oxi re k sy h abercrombie exei epishs tetoia polo k isws pio fthna	dn exei edw
837	nai dn nomizw	ta lacoste exoun 
840	 the video chat ended . ela re na s pw	ela
844	exeis kanena filo pou na menei agglia 	prin to koronoio emene nai
847	aa ok oxi thelw kapoion me dieuthynsh ekei	steile ston tsolakh
851	nai nai amesa christina called you . ela nai gia ygpousto koitaw mhpws brw airbnb	tha einai terma overpriced pisteuw
857	to xerw pws einai ekeiii 	top
862	christina called you . auth einai h pthsh mou afixh 	eftases ?
866	hellooo yes molis prosgeiwthikaaa	tha arghsw kanena lepto
869	oook dont worry	ekleisan olh thn paralia
871	tha kanw kana eikosalepto aneta akoma misawro mh s pw	kalws
877	ela h mama koimatai 	oxi
880	christina called you . antwnh esy se poio podi eisai k posous exeis mesa sto amaxi 	sto o
886	ok an pame kampana me th birginia den einai eukolo dld na mas gyrisete e you missed a call from christina . you missed a call from christina .	you called christina .
898	e antwnh mpes ligo na deis to story p anebasa twra einai ok you missed a call from christina . you missed a call from christina .	se pairnw se 
905	ela akyro gia aurio tha mporouses isws pempth mporei k na mhn xreiastei katholou an pame nikhth	nai mporw
910	sth giagia ths birginias tha sou exhghsw ap to thl	egine
915	christina called you . you missed a call from christina .	tha se parw se ligo
918	ok	christina missed your call .
923	loipon exei ena ktel pou shmainei oti gia na mas pas prepei na xekinhseis prin tis ap to xwrio meta an thes na mas pas nikhth mporeis na xekinhseis meta tis ap to xwrio benzines tha sta dwsw nikhth dn prepei na einai poly katw alla o ti thes	einai mia mish wra
936	katse n rwthsw th birginia oxi ela dn yparxei thema pane mas mexri to ktel apla prepei n xypnhseis pio nwris	wraia
942	gies bre ela k meta tis a sory eipame gia to ktel miso rwtaw th birginia mhpws tyxon mporei o basilhs ela paizei na mporei na mas paei k o basilhs na xes mexri ti wra thes na sto epibebaiwsw akyrwsw 	tha xypnhsw to prwi
952	k ama dn tha xanakoimhtheis 	oxi oxi dn exw tetoia themata
955	ela mallon tha pame me taxi koimhsou krima na se fernoume apo xwrio gia ta ktel	egine
959	mersiii	kala na perasete
961	tha xanakoimhtheis esy sigoura sory an xypnhses me to zorii eprepe n xw synnenohthei kalytera	koimamai hdh
965	antwnh xeloouy pou eisai 	sto platanitsi
968	maaalista me to gkolf 	ti tha kanei telika o antouan 
971	aaa esy to phres ara dn mporoume na to paroume aurio pffff prosgeiwnetai to brady elega na gyrisw n meinoume kentro k aurio n pame xalkidikh	parte to golf
977	pws tha to paroume ap to xwrio 	pes th mana na erthei na sas parei
983	kala tha parw th mama k n fygoume kyriakh prwi gia xalkidikh dld ginetai k auto you missed a call from christina .	you called christina .
990	you missed a video chat with christina .	you called christina .
992	you missed a call from christina .	christina missed your call .
994	christina called you . christina called you . christina called you . to prwto einai to kommeno pou lew na balw na grapsw ntano agaph mou ela pare me apo dw niwthw mia plhrothta posh sygkinhsh pia ena dakry kylhse mono ntanos 	basika
1009	you missed a call from christina . you missed a call from christina . you missed a call from christina . ti les 	ahahah
1016	christina called you .	grapse natos
1018	metakomizw tha grapsw metakomizw sketo h metakomizw skiatho 	sketo nai
1022	h poses sygkinhseis pia h ntanos pantou 	auto
1025	h na metakomisw 	oxi oxi
1027	to metakomizw m aresei pio poly re fainetai oti kanw plaka	to metakomizw sketo nai
1031	re mpes ligo n deis fainetai tholo to binteo mpes twra	oxi kala einai
1034	ela antoniooo molis xekiname apo bolo tha mas afhsei diodia malgarwn ara kata tis k kati logika tha maste ekei	egine
1039	mersii thes na sou steilw px otan eimaste ston korino 	makrygialo
1042	ook to gps mas bgazei afixh th s steilw apo makrygialo meta ton korino dn einai etsi opws erxomaste 	o makrygialos nai meta ton korino
1050	egw ston odhgo diodia malgarwn eipa pantws	e nai ntaxei
1052	a nai ontws an baloume kymina mas bgazei 	 tha eimai sta diodia
1054	oook mersii christina called you .	you called christina .
1057	eimaste sthn exodo gia makrygialo twra	xekinaw
1059	ook eipe molis perasei sta diodia tha mas afhsei	e prin ta diodia pes ton
1064	e tha rthoume me ta podia dn peirazei	tha perpathsete metra
1069	you missed a call from christina . ela antwnioo pame sto ergostasio tou armani gia sopigk o antouan leei oti ta exei pio fthna thes tpt 	pare kanena mpoxeraki gia to anamnhstiko
1076	 ta tria poso ta exei sth thessalonikh 	 
1080	alhtheia oxi mintioum dn exei alla largee mono typou slip	oxi dn thelw tetoia
1086	 oi dyo t dyo zeygaria ennow	aaa kaltses ?
1097	kati poukamisa 	oxi oxi
1104	hahaha exei san k ayto p phres alla mono small 	a auto einai wraio
1110	 	exei large ?
1112	ayto einai large	proskopos
1114	 ayth einai h zaketa large 	a einai crew neck
1122	poio na valei ?	to jacket
1124	fouter 	oooooo
1128	to armani exchange einai ena ypo brand	nai to xerw
1130	san to emporio ena pragma	alla dn kserw pio einai to premium
1137	to fouter ?	nai
1140	dn exei polla katse n dw ayto an s aresei to logo t anoigw	oxi oxi
1144	ok	einai poiotikh h fouter pws thn blepeis 
1146	zaketa me koukoula 	oxi oxi
1150	nomizw nai einai 	oxi dn m aresei to xrwma
1155	miso n t pw n th dokimasei	hmm
1158	sure	me pshnei h zaketa alla einai ligo risko to noumero
1160	ston antoine k to xl dn tou nai terastio alla ntaksei dn exei k 	e einai akribh
1164	indeed	asto dn axizei
1167	hahahap ook oute h fouter etsi ?	e to idio einai makria oi giortes
1171	oook foulh moi ante katse diavase sorryyy	ahahhah
1180	perimene to black friday epese poly photoshooting venetia 	prwth
1186	exw polles otan apofasisw n anevasw tha s steilw	https www .carhartt wip .com en men jackets jackets brooke jacket wax 
1193	wraio an to thes gia kathimerino mhpws na pareis to mavro ? m arese k to cream white vevaia	skeftomai mhpws to aspro
1198	tha tairiazei me ta rouxa sou ? nai to mavro paei pio basic meta	e jeans foraw tha phgainei
1202	hahaha oxi wraio tha einai pare to aspro christina called you . mhpws kalytera n kanw ayth story ?	k auth wraia
1210	poia ap tis dyo ?	hmm 
1213	ok the video chat ended . you missed a call from christina . elaa mporeis na milhseis ?	a ela
1220	aa eisai eksw poios einai to paidi ?	o lazaros
1223	ook kala tpt gia th fwto sto insta se ithela 	tha se parw to vrady
1228	tha anebasw auth edw etsi dn bazw filtra ok na grapsw kati les 	katse na skeftw
1232	o xantes leei auth	e to idio einai
1235	nai th fwtisa	nai balthn etsi
1237	sigoura s aresei 	nai
1239	ela teleutaia fora pes poia ap tis dyo	bale auth pou se eipe k o xantes
1241	k o antouan m leei th deuterh h birginia m leei oti sthn prwth fainomai pio omorfh k sthn deuterh pio fysikh	deuterh
1246	https kampanianews .gr ce b ce b ce bd ce b cf ce b cf cf c cf ce bf ce b cf cf d cf ce b ce bc ce b ce bb ce af ce b ce bf ce ad ce be cf ce b cf cf c cf ce b ce bd cf ce b elaa koimatai h mama 	oxi
1249	san na exei texnotropia mou fainetai 	nai exei
1251	dn m aresei me texnotropia 	dn einai oti pio monterno
1254	xwris nera tha htan kalytero omoiomorfo to xrwma dld	ntaxei mh to peis sth mama gt ths arese poly tha thn xenerwseis
1257	dn m aresei h texnotropia emena xtes m eipe oxi me texnotropia apapa	ahhaha
1261	ela antwnh kalhmeraaa ti kaneis na s pw pote mporeis na xekinhsoume mathhmatika dinw se ligotero apo meres logika 	ela
1269	mporoume na kanoume thn trith k thn pempth isws k meta afou dwseis	nai
1274	ektos k an exeis k kamia wra shmera to brady	shmera eimai poly sfixta
1276	ok tote asto dwse aurio k blepoume meta	xristina
1281	sywhyb xuwxej ginto 	thanksss
1283	christina called you . christina set the emoji to . christina called you .	ti kaneis ?
1287	iii grafw ena meil akousa ena mnm mesentzer pou hrthe lepta perasan panagia mou	ti tha kanoume
1291	mporeis 	e nai se perimenw
1293	ok se pairnw se skaip 	discord exeis ?
1296	ti sinai auto ?	mia efarmogh gia klhseis sharescreen kai ta loipa
1300	nomizw nai miso gia dwse mou to meil sou	antonispar gmail .com
1304	ok s steila mia prosklisi	dn hrthe akoma
1307	pfff	pata auto
1309	dn mporeis na me vreis esy sto zoom ? to pathsa k m leei not supported stoo macbook eimai	gia des to gmail sou
1319	ekana joiiiin	se ena lepto
1322	aah ok villeneuve d ascq ela antonio tha kanoume kana mathima ? dinw iouniou	oktomvriou ?
1328	ah pardon nai	aurio ti wres mporeis
1331	olh mera	wraia tha ksypnhsw to prwi . . .exw na kanw kati pramata kai na paw gym
1336	ook dont worry	na mpoume
0	dhmhtrhs called you . tha katsete h tha fygete an prin tis meres kaneis test tha sto bgalei 	nai r
4	tipota den exoume	makari
7	syrma ta gyalia mou einai sthn apothhkh h ta phres panw 	ta phra ta afhsa sth skala
13	ama . den bgeis nwris tha perasw na ta parw	nai steile otan einai
15	egine	trww k erxomai na tis ferw
17	akoma xypnios 	eixa afhsei to kinhto anoixto
21	nai re logika	koimhthhka kai kateutheian
23	ante geia to kalytero	alla eixa aima r mlk sth muth
28	den nokizw isws den to ebazes poly mesa to kalamaki to allo sabbato edw	opa r
33	allh fash mpes des fwto pragmata mazi einai	kai ta pramata pou ftiaxnoun prepei na einai top
38	kai egw etsi pisteuw alla . gamaei to meros	mono aragma
41	nai re	entwmetaxy exei k sinema alla dn to leei
43	lege re oti kalytero kai feugoume 	prepei na pame kava
47	den phgate 	oxi
49	phgainete twra tha kleisei ante barate	phra thlefwno thn areth na perimenei
52	wre magka wraios	e nai
56	em . nai thes fou kana taliraki 	mpa
60	giati den tha kapniseis 	oxi
63	pou eisai 	spiti ntynomai
65	thes na pame mexri ta kymina an me apanthsei o antwnhs 	nai r
67	egine tha se steilw	e exeis to iban ths amalias 
69	oxi me iris an kai shmera einai kyriakh aurio tha ginei h metafora http ltzmz .officialdallasstars .com cocawc tb .php ?v gr ms	a gamhsou r
79	re otan gyrisete tha to syzhthsoume	nai alla prepei na pame xalkidikh
82	are	e
87	tha ss dwsei logika alla tha se koro depsei des kai meta plhrwse	kala auto einai sigouro
